nom;tournee;type;number_count;numbers
Rue de Langoz;;voie;31;1,2,3,4,5,6,7,9,11,15,20,21,22,23,24,25,26,27,28,29,31,33,35,37,39,41,43,45,47,49,51
Rue de Lodonnec;;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rue de Pen Allee;;voie;6;1,2,4,6,8,10
Rue de Pen Ar But;;voie;10;1,2,3,4,5,6,7,8,10,14
Rue de Pen Lann;;voie;29;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Rue de Pen-Ar-Veur;;voie;23;1,2,3,5,7,9,10,11,12,13,14,15,16,17,19,21,23,27,29,31,33,44,46
Rue de Penhador;;voie;38;1,4,6,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,39,41,43,1398,1425,1429,1671
Rue de Pont Ar Gwin;;voie;28;1,2,3,5,7,15,17,20,21,23,24,25,26,28,29,30,31,32,33,35,38,44,46,48,50,52,54,60
Rue de Porscaven;;voie;8;1,2,3,5,7,9,1391,1392
Rue de Poulluen;;voie;15;2,6,8,9,10,11,13,14,16,18,24,26,28,1620,1816
Rue de Poulpeye;;voie;15;1,2,3,4,5,7,8,9,10,11,12,13,14,15,17
Rue de Prat An Asquel;;voie;20;1,2,3,5,6,8,9,10,11,12,13,14,15,16,17,18,22,24,26,90
Rue de Tréguido;;voie;60;1,3,5,6,8,10,12,14,16,17,18,19,23,25,26,27,28,29,31,32,33,34,35,36,38,39,40,42,43,44,45,46,47,48,49,50,51,52,55,56,59,61,63,65,67,68,69,70,71,72,73,74,76,78,1570,1637,1643,1644,1646,2508
Rue de Ty-Glaz;;voie;12;2,3,5,6,7,8,9,10,12,14,16,18
Rue de Villoury;;voie;28;2,3,4,5,6,7,8,9,10,11,12,14,15,17,20,21,22,23,24,25,26,27,29,30,31,32,33,35
Rue des Ajoncs d’Or;;voie;16;1,2,3,4,5,6,7,8,9,10,11,13,14,16,18,20
Rue des Algues;;voie;14;1,2,3,4,5,6,8,10,12,28,1622,1625,1626,1627
Rue des Aubépines;;voie;32;1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,30,32,34,36,850,851
Rue des Camélias;;voie;7;1,2,3,4,5,6,7
Rue des Cormorans;;voie;10;1,3,4,5,6,7,9,11,13,15
Rue des Courlis;;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21
Rue des Criques de Pich Poud;;voie;26;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,26,28,30,32
Rue des Cyprés;;voie;5;1,3,5,7,9
Rue des Embruns;;voie;15;2,3,4,5,6,7,8,9,10,11,12,14,16,18,20
Rue des Fauvettes;;voie;1;1
Rue des Glénan;;voie;16;1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,19
Rue des Jonquilles;;voie;31;1,3,4,5,6,7,8,10,11,12,14,15,16,18,20,22,23,24,25,27,29,30,31,35,37,39,41,42,43,44,49
Rue des Mésanges;;voie;25;1,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,28
Rue des Mimosas;;voie;5;2,3,4,6,8
Rue des Mouettes;;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,17,19,21,23,29
Rue des Pêcheurs;;voie;13;1,2,3,4,5,6,7,8,9,10,11,12,18
Rue des Perdrix;;voie;14;1,2,4,5,7,8,11,13,15,17,20,22,24,26
Rue des Pinsons;;voie;7;1,2,3,4,5,6,10
Rue des Primevères;;voie;10;1,3,5,6,7,8,9,11,13,26
Rue des Sables Blancs;;voie;61;1,3,5,7,9,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,69,71,1514
Rue des Tulipes;;voie;42;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,1125,1450
Rue du 19 Mars 1962;;voie;41;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,39,41,43,45
Rue du Beau Rivage;;voie;14;1,2,3,4,5,6,7,8,9,10,11,13,15,17
Rue du Casabianca;;voie;20;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24
Rue du Clos;;voie;20;1,2,3,4,5,6,7,8,9,11,13,15,17,18,19,20,21,22,23,25
Rue du Commandant Carfort;;voie;6;2,3,4,5,7,9
Rue du Cosquer;;voie;58;1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,27,28,29,30,32,34,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,1512,1513,1549,1564,1797
Rue du Docteur Lenormand;;voie;16;1,2,3,4,5,6,7,9,10,11,12,14,15,16,17,18
Rue du Dourdy;;voie;22;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23
Rue du Général de Gaulle;;voie;37;1,2,3,5,7,9,10,11,12,13,14,15,16,18,20,21,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Rue du Général de Penfentenyo;;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,20,22,30,31,32
Rue du Général Leclerc;;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20
Rue du Général Pigeaud;;voie;26;2,4,5,6,7,9,11,13,15,17,19,21,22,23,24,25,26,27,28,29,30,31,33,35,37,39
Rue du Grand Large;;voie;32;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,34,36,38
Rue du Penquer;;voie;23;1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,19,20,21,22,23,25,27,29
Rue du Petit Port;;voie;14;1,2,3,4,5,6,7,9,10,11,12,13,14,16
Rue du Phare;;voie;17;1,2,3,4,5,6,8,9,10,11,12,13,15,17,19,21,23
Rue du Port de Larvor;;voie;45;1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,34,36,40,41,42,43,45,47,49,51,1327,1339,1628,1629,1633
Rue du Port;;voie;37;1,2,3,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Rue du Suler;;voie;40;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,46
Rue Fishguard Goodwick;;voie;23;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Rue Hent Pouligou;;voie;3;2,4,13
Rue Jeanne d’Arc;;voie;23;1,2,3,4,5,6,7,9,11,12,13,15,17,19,21,23,25,27,29,31,33,35,37
Rue Jules Ferry;;voie;17;1,2,3,4,5,6,7,8,9,11,13,15,17,23,25,27,29
Rue Laennec;;voie;14;1,2,3,4,5,6,7,8,9,10,12,13,14,16
Rue Louis Peron;;voie;40;1,3,5,7,9,11,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,35,36,37,38,39,40,42,44,46,47,48,49,50,52,54
Rue Lucien Simon;;voie;12;1,3,4,5,6,7,8,9,10,11,13,15
Rue Marie de Kerstrat;;voie;18;1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,28
Rue Maurice Denis;;voie;9;18,20,22,24,26,30,31,32,33
Rue Mejou Bihan;;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Rue Men An Hid;;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21
Rue Men Holo;;voie;19;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20
Rue Pasteur;;voie;23;1,2,3,4,5,6,7,8,9,11,12,13,14,16,17,18,20,22,24,26,28,30,32
Rue Poul Ar Gleut Vian;;voie;1;9
rue Rémy Le Lay;;voie;3;2,4,6
Rue Robert Bluteau;;voie;14;2,3,4,5,6,7,8,9,10,12,14,16,18,20
Rue Sébastien Guiziou;;voie;68;1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,55,56,57,58,59,60,61,62,63,64,65,66,67,69,71,73
Traverse de Mejou Kerandouin;;voie;13;1,2,3,4,5,6,7,8,9,10,11,12,14
Traverse des Ecoliers;;voie;19;1,2,3,4,5,6,7,8,9,10,11,13,14,15,17,20,23,24,25
Tréguido;;voie;2;40,1645
Ty Pin;;voie;1;1
Venelle de Karreg Kong;;voie;7;1,2,3,4,5,6,8
