nom;type;number_count;numbers
Rue Carnot;voie;8;3,5,6,7,8,9,10,11
Rue Charles Darwin;voie;7;1,3,5,6,8,10,12
Rue Charles du Quélennec;voie;11;1,2,3,4,5,6,7,8,9,10,12
Rue Charles le Bastard;voie;33;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25,26,27,28,29,30,35,37,39,41,43
Rue Charles le Goffic;voie;13;1,2,3,4,5,6,7,8,9,10,12,14,16
Rue Chateaubriand;voie;20;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,23
Rue Colonel Arnaud Beltrame;voie;20;1,2,3,4,5,6,7,8,10,11,12,13,14,15,17,19,21,23,25,27
Rue Condorcet;voie;11;1,2,3,4,5,6,8,10,12,14,16
Rue Corn Lan;voie;13;1,2,3,4,5,6,7,8,10,12,14,16,18
Rue Danton;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18
Rue de Bringall;voie;13;1,2,3,5,6,7,8,9,11,13,15,17,19
Rue de Goarem Gueon;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,14,16,18
Rue de Keralio;voie;16;2,4,5,6,7,8,9,10,11,12,13,15,17,19,21,23
Rue de Kerembleis;voie;9;2,3,4,5,6,7,9,10,12
Rue de Kérentrée;voie;18;1,2,3,4,5,6,7,8,10,12,14,16,18,20,22,24,26,28
Rue de l’Eglise;voie;4;2,4,5,6
Rue de la Carrière;voie;25;1,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,30,32
Rue de la Gare;voie;43;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,38,40,42,44,46,48,50,52
Rue de la Grotte;voie;49;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66
Rue de la Halle;voie;10;2,3,4,5,6,7,8,10,12,20
Rue de la Madeleine;voie;8;1,2,3,4,5,6,7,8
Rue de la Source;voie;12;1,2,3,4,5,6,7,8,9,11,13,46
Rue de Lambour;voie;54;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,47,49,50,51,52,53,54,55,56,58,60,62,64,66
Rue de Mènez Rouz;voie;15;1,3,5,7,9,11,13,15,17,19,21,23,25,27,29
Rue de Merville;voie;9;1,2,3,4,5,6,7,8,10
Rue de Poulleac H;voie;23;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,26
Rue de Prat Guen;voie;24;4,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
Rue de St Jean;voie;1;31
Rue de Ster Vad;voie;28;1,2,3,4,5,6,7,8,9,10,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48
Rue des Brodeuses;voie;14;1,2,3,4,5,6,7,8,9,10,11,12,13,14
Rue des Carmes;voie;15;2,3,5,7,9,10,11,12,13,14,15,16,17,18,20
Rue des Chevaliers;voie;17;1,2,3,4,5,6,7,8,9,10,12,14,16,18,20,22,24
Rue des Déportés;voie;24;1,3,5,7,12,13,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,40
Rue des Hortensias;voie;8;1,2,3,4,5,6,7,8
Rue des Lavandières;voie;11;1,2,3,4,5,6,7,8,9,10,12
Rue des Morts;voie;7;2,3,4,5,6,7,8
Rue des Pins;voie;13;1,2,3,4,5,6,7,8,9,10,11,13,15
Rue Douarlinec;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,23
Rue Dreon An Ilis;voie;9;1,2,3,4,5,6,7,8,9
Rue du 11 Novembre;voie;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,29,31
Rue du 19 Mars 1962;voie;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,23,25,27,29,36
Rue du 8 Mai 1945;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18
Rue du Calvaire;voie;35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31,33,35,37,39,41,43
Rue du Château;voie;20;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,55
Rue du Colonel Rol Tanguy;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18
Rue du Docteur Guias;voie;3;2,3,4
Rue du Douric-Coz;voie;20;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20,22,24,26
Rue du Général de Gaulle;voie;122;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,119,120,121,122,123,125,127,129,131
Rue du Guesclin;voie;12;1,2,3,4,5,6,7,8,9,11,13,15
Rue du Guiric;voie;51;13,15,17,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,69
Rue du Lycée;voie;71;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,30,31,32,33,34,35,36,37,38,39,41,43,44,45,46,47,49,50,51,52,53,54,55,56,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,80,82
Rue du Manoir;voie;5;2,4,6,8,10
Rue du Méjou;voie;22;1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19,20,21,22,23,25
Rue du Ménez;voie;16;1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21
Rue du Menhir;voie;12;1,2,3,4,5,6,7,8,9,10,11,12
Rue du Penker Nevez;voie;22;1,2,4,6,9,10,11,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28
Rue du Penquer;voie;9;1,2,3,4,5,6,8,9,10
Rue du Petit Train;voie;6;1,3,4,7,9,11
Rue du Prat;voie;8;2,3,4,6,8,10,12,14
Rue du Séquer;voie;34;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32,34,36,38,40
Rue du Stade;voie;16;1,2,3,4,5,6,7,8,11,13,15,17,19,21,23,25
Rue du Steven;voie;11;1,2,3,4,5,6,7,8,10,12,14
Rue Duguay Trouin;voie;5;1,2,3,4,6
Rue Duguesclin;voie;12;1,2,3,4,5,6,7,8,9,11,13,15
Rue Elie Fréron;voie;41;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35,37,39,41,43,45,47,49,51
Rue Floquet;voie;4;2,6,8,10
Rue François Bazin;voie;9;1,2,3,4,5,7,9,11,13
Rue François Mitterand;voie;35;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54
Rue Frehel;voie;13;1,2,3,4,5,6,7,9,11,13,15,17,19
Rue George Sand;voie;13;1,2,3,4,5,6,7,8,9,10,11,12,14
Rue Georges Clémenceau;voie;12;1,2,4,5,6,7,8,10,11,14,16,18
Rue Georges Geo Fourrier;voie;12;1,2,3,4,5,6,7,8,9,10,12,14
Rue Georges Pompidou;voie;17;2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,23
Rue Gustave Eiffel;voie;18;1,2,3,4,5,7,9,11,13,15,17,19,21,23,25,27,29,31
Rue Guy le Garrec;voie;24;1,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,27,35
