#Code_commune_INSEE;Nom_de_la_commune;Code_postal;Libellé_d_acheminement;Ligne_5;url_rues
1121;CORLIER;1110;CORLIER;;https://adresse.data.gouv.fr/api/downloads/1121/street-list?from=api-depot
1123;CORMORANCHE SUR SAONE;1290;CORMORANCHE SUR SAONE;;https://adresse.data.gouv.fr/api/downloads/1123/street-list?from=api-depot
1124;CORMOZ;1560;CORMOZ;;https://adresse.data.gouv.fr/api/downloads/1124/street-list?from=api-depot
1125;CORVEISSIAT;1250;CORVEISSIAT;;https://adresse.data.gouv.fr/api/downloads/1125/street-list?from=api-depot
1127;COURMANGOUX;1370;COURMANGOUX;;https://adresse.data.gouv.fr/api/downloads/1127/street-list?from=api-depot
1128;COURTES;1560;COURTES;;https://adresse.data.gouv.fr/api/downloads/1128/street-list?from=api-depot
1129;CRANS;1320;CRANS;;https://adresse.data.gouv.fr/api/downloads/1129/street-list?from=api-depot
1130;BRESSE VALLONS;1340;BRESSE VALLONS;CRAS SUR REYSSOUZE;https://adresse.data.gouv.fr/api/downloads/1130/street-list?from=api-depot
1130;BRESSE VALLONS;1340;BRESSE VALLONS;ETREZ;https://adresse.data.gouv.fr/api/downloads/1130/street-list?from=api-depot
1133;CRESSIN ROCHEFORT;1350;CRESSIN ROCHEFORT;;https://adresse.data.gouv.fr/api/downloads/1133/street-list?from=api-depot
1134;CROTTET;1290;CROTTET;;https://adresse.data.gouv.fr/api/downloads/1134/street-list?from=api-depot
1134;CROTTET;1750;CROTTET;;https://adresse.data.gouv.fr/api/downloads/1134/street-list?from=api-depot
1135;CROZET;1170;CROZET;;https://adresse.data.gouv.fr/api/downloads/1135/street-list?from=api-depot
1136;CRUZILLES LES MEPILLAT;1290;CRUZILLES LES MEPILLAT;;https://adresse.data.gouv.fr/api/downloads/1136/street-list?from=api-depot
1138;CULOZ BEON;1350;CULOZ BEON;BEON;https://adresse.data.gouv.fr/api/downloads/1138/street-list?from=api-depot
1138;CULOZ BEON;1350;CULOZ BEON;CULOZ;https://adresse.data.gouv.fr/api/downloads/1138/street-list?from=api-depot
1139;CURCIAT DONGALON;1560;CURCIAT DONGALON;;https://adresse.data.gouv.fr/api/downloads/1139/street-list?from=api-depot
1140;CURTAFOND;1310;CURTAFOND;;https://adresse.data.gouv.fr/api/downloads/1140/street-list?from=api-depot
1141;CUZIEU;1300;CUZIEU;;https://adresse.data.gouv.fr/api/downloads/1141/street-list?from=api-depot
1142;DAGNEUX;1120;DAGNEUX;;https://adresse.data.gouv.fr/api/downloads/1142/street-list?from=api-depot
1143;DIVONNE LES BAINS;1220;DIVONNE LES BAINS;;https://adresse.data.gouv.fr/api/downloads/1143/street-list?from=api-depot
1145;DOMPIERRE SUR VEYLE;1240;DOMPIERRE SUR VEYLE;;https://adresse.data.gouv.fr/api/downloads/1145/street-list?from=api-depot
1146;DOMPIERRE SUR CHALARONNE;1400;DOMPIERRE SUR CHALARONNE;;https://adresse.data.gouv.fr/api/downloads/1146/street-list?from=api-depot
1147;DOMSURE;1270;DOMSURE;;https://adresse.data.gouv.fr/api/downloads/1147/street-list?from=api-depot
1148;DORTAN;1590;DORTAN;;https://adresse.data.gouv.fr/api/downloads/1148/street-list?from=api-depot
1149;DOUVRES;1500;DOUVRES;;https://adresse.data.gouv.fr/api/downloads/1149/street-list?from=api-depot
1150;DROM;1250;DROM;;https://adresse.data.gouv.fr/api/downloads/1150/street-list?from=api-depot
1151;DRUILLAT;1160;DRUILLAT;;https://adresse.data.gouv.fr/api/downloads/1151/street-list?from=api-depot
1152;ECHALLON;1130;ECHALLON;;https://adresse.data.gouv.fr/api/downloads/1152/street-list?from=api-depot
1153;ECHENEVEX;1170;ECHENEVEX;;https://adresse.data.gouv.fr/api/downloads/1153/street-list?from=api-depot
1155;EVOSGES;1230;EVOSGES;;https://adresse.data.gouv.fr/api/downloads/1155/street-list?from=api-depot
1156;FARAMANS;1800;FARAMANS;;https://adresse.data.gouv.fr/api/downloads/1156/street-list?from=api-depot
1157;FAREINS;1480;FAREINS;;https://adresse.data.gouv.fr/api/downloads/1157/street-list?from=api-depot
1158;FARGES;1550;FARGES;;https://adresse.data.gouv.fr/api/downloads/1158/street-list?from=api-depot
1159;FEILLENS;1570;FEILLENS;;https://adresse.data.gouv.fr/api/downloads/1159/street-list?from=api-depot
1160;FERNEY VOLTAIRE;1210;FERNEY VOLTAIRE;;https://adresse.data.gouv.fr/api/downloads/1160/street-list?from=api-depot
1162;FLAXIEU;1350;FLAXIEU;;https://adresse.data.gouv.fr/api/downloads/1162/street-list?from=api-depot
1163;FOISSIAT;1340;FOISSIAT;;https://adresse.data.gouv.fr/api/downloads/1163/street-list?from=api-depot
1165;FRANCHELEINS;1090;FRANCHELEINS;;https://adresse.data.gouv.fr/api/downloads/1165/street-list?from=api-depot
1165;FRANCHELEINS;1090;FRANCHELEINS;AMAREINS;https://adresse.data.gouv.fr/api/downloads/1165/street-list?from=api-depot
1165;FRANCHELEINS;1090;FRANCHELEINS;CESSEINS;https://adresse.data.gouv.fr/api/downloads/1165/street-list?from=api-depot
1166;FRANS;1480;FRANS;;https://adresse.data.gouv.fr/api/downloads/1166/street-list?from=api-depot
1167;GARNERANS;1140;GARNERANS;;https://adresse.data.gouv.fr/api/downloads/1167/street-list?from=api-depot
1169;GENOUILLEUX;1090;GENOUILLEUX;;https://adresse.data.gouv.fr/api/downloads/1169/street-list?from=api-depot
1170;BEARD GEOVREISSIAT;1460;BEARD GEOVREISSIAT;;https://adresse.data.gouv.fr/api/downloads/1170/street-list?from=api-depot
1171;GEOVREISSET;1100;GEOVREISSET;;https://adresse.data.gouv.fr/api/downloads/1171/street-list?from=api-depot
1173;GEX;1170;GEX;;https://adresse.data.gouv.fr/api/downloads/1173/street-list?from=api-depot
1174;GIRON;1130;GIRON;;https://adresse.data.gouv.fr/api/downloads/1174/street-list?from=api-depot
1175;GORREVOD;1190;GORREVOD;;https://adresse.data.gouv.fr/api/downloads/1175/street-list?from=api-depot
1177;GRAND CORENT;1250;GRAND CORENT;;https://adresse.data.gouv.fr/api/downloads/1177/street-list?from=api-depot
1179;GRIEGES;1290;GRIEGES;;https://adresse.data.gouv.fr/api/downloads/1179/street-list?from=api-depot
1180;GRILLY;1220;GRILLY;;https://adresse.data.gouv.fr/api/downloads/1180/street-list?from=api-depot
1181;GROISSIAT;1100;GROISSIAT;;https://adresse.data.gouv.fr/api/downloads/1181/street-list?from=api-depot
1183;GUEREINS;1090;GUEREINS;;https://adresse.data.gouv.fr/api/downloads/1183/street-list?from=api-depot
1184;HAUTECOURT ROMANECHE;1250;HAUTECOURT ROMANECHE;;https://adresse.data.gouv.fr/api/downloads/1184/street-list?from=api-depot
1184;HAUTECOURT ROMANECHE;1250;HAUTECOURT ROMANECHE;ROMANECHE;https://adresse.data.gouv.fr/api/downloads/1184/street-list?from=api-depot
1185;PLATEAU D HAUTEVILLE;1110;PLATEAU D HAUTEVILLE;CORMARANCHE EN BUGEY;https://adresse.data.gouv.fr/api/downloads/1185/street-list?from=api-depot
1185;PLATEAU D HAUTEVILLE;1110;PLATEAU D HAUTEVILLE;HAUTEVILLE LOMPNES;https://adresse.data.gouv.fr/api/downloads/1185/street-list?from=api-depot
1185;PLATEAU D HAUTEVILLE;1110;PLATEAU D HAUTEVILLE;HOSTIAZ;https://adresse.data.gouv.fr/api/downloads/1185/street-list?from=api-depot
1185;PLATEAU D HAUTEVILLE;1110;PLATEAU D HAUTEVILLE;THEZILLIEU;https://adresse.data.gouv.fr/api/downloads/1185/street-list?from=api-depot
1187;HAUT VALROMEY;1260;HAUT VALROMEY;HOTONNES;https://adresse.data.gouv.fr/api/downloads/1187/street-list?from=api-depot
1187;HAUT VALROMEY;1260;HAUT VALROMEY;LE GRAND ABERGEMENT;https://adresse.data.gouv.fr/api/downloads/1187/street-list?from=api-depot
1187;HAUT VALROMEY;1260;HAUT VALROMEY;LE PETIT ABERGEMENT;https://adresse.data.gouv.fr/api/downloads/1187/street-list?from=api-depot
1187;HAUT VALROMEY;1260;HAUT VALROMEY;RUFFIEU;https://adresse.data.gouv.fr/api/downloads/1187/street-list?from=api-depot
1187;HAUT VALROMEY;1260;HAUT VALROMEY;SONGIEU;https://adresse.data.gouv.fr/api/downloads/1187/street-list?from=api-depot
1188;ILLIAT;1140;ILLIAT;;https://adresse.data.gouv.fr/api/downloads/1188/street-list?from=api-depot
1189;INJOUX GENISSIAT;1200;INJOUX GENISSIAT;;https://adresse.data.gouv.fr/api/downloads/1189/street-list?from=api-depot
1189;INJOUX GENISSIAT;1200;INJOUX GENISSIAT;CRAZ;https://adresse.data.gouv.fr/api/downloads/1189/street-list?from=api-depot
1190;INNIMOND;1680;INNIMOND;;https://adresse.data.gouv.fr/api/downloads/1190/street-list?from=api-depot
1191;IZENAVE;1430;IZENAVE;;https://adresse.data.gouv.fr/api/downloads/1191/street-list?from=api-depot
1192;IZERNORE;1580;IZERNORE;;https://adresse.data.gouv.fr/api/downloads/1192/street-list?from=api-depot
1193;IZIEU;1300;IZIEU;;https://adresse.data.gouv.fr/api/downloads/1193/street-list?from=api-depot
1194;JASSANS RIOTTIER;1480;JASSANS RIOTTIER;;https://adresse.data.gouv.fr/api/downloads/1194/street-list?from=api-depot
1195;JASSERON;1250;JASSERON;;https://adresse.data.gouv.fr/api/downloads/1195/street-list?from=api-depot
1196;JAYAT;1340;JAYAT;;https://adresse.data.gouv.fr/api/downloads/1196/street-list?from=api-depot
1197;JOURNANS;1250;JOURNANS;;https://adresse.data.gouv.fr/api/downloads/1197/street-list?from=api-depot
1198;JOYEUX;1800;JOYEUX;;https://adresse.data.gouv.fr/api/downloads/1198/street-list?from=api-depot
1199;JUJURIEUX;1640;JUJURIEUX;;https://adresse.data.gouv.fr/api/downloads/1199/street-list?from=api-depot
1200;LABALME;1450;LABALME;;https://adresse.data.gouv.fr/api/downloads/1200/street-list?from=api-depot
1202;LAGNIEU;1150;LAGNIEU;;https://adresse.data.gouv.fr/api/downloads/1202/street-list?from=api-depot
1203;LAIZ;1290;LAIZ;;https://adresse.data.gouv.fr/api/downloads/1203/street-list?from=api-depot
1204;LE POIZAT LALLEYRIAT;1130;LE POIZAT LALLEYRIAT;LALLEYRIAT;https://adresse.data.gouv.fr/api/downloads/1204/street-list?from=api-depot
1204;LE POIZAT LALLEYRIAT;1130;LE POIZAT LALLEYRIAT;LE POIZAT;https://adresse.data.gouv.fr/api/downloads/1204/street-list?from=api-depot
1206;LANTENAY;1430;LANTENAY;;https://adresse.data.gouv.fr/api/downloads/1206/street-list?from=api-depot
1207;LAPEYROUSE;1330;LAPEYROUSE;;https://adresse.data.gouv.fr/api/downloads/1207/street-list?from=api-depot
