nom;type;tournee;number_count;numbers
Route de Pont l’Abbe;voie;;6;1,2,3,6,8,12
Route de Quimper;voie;;16;1,2,3,4,5,6,7,9,11,12,13,14,15,17,19,21
Route de Ty Rhu;voie;;33;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,37,39,41
Route du Haffond;voie;;35;2,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,36,38,40,42,44
Route du Treustel;voie;;2;1,2
Ru An Alarc H;voie;;2;1,3
Ru An Durzunell;voie;;23;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,21,23,25,27,29,31
Ru An Eostig;voie;;6;1,2,3,4,6,8
Ru Ar C Haz Koad;voie;;8;1,2,3,4,5,6,7,8
Rue André Chevrillon;voie;;27;1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,30,32,34,36,38,40
Rue André Malraux;voie;;11;1,2,4,6,8,10,12,13,14,16,18
Rue ar Pussou;voie;;9;1,2,3,4,5,6,8,10,12
Rue Ar Vigouden;voie;;17;1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21,23
Rue de Bereven;voie;;29;1,2,4,6,7,8,9,10,11,12,13,14,16,17,18,19,20,22,23,24,26,28,29,30,32,34,35,37,41
Rue de Croas Ver;voie;;14;1,2,3,4,5,6,7,8,9,10,11,12,14,16
Rue de Kerbenoen;voie;;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26,27,29,31,33,35
Rue de Kerdual;voie;;39;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,38,40,42,44
Rue de Kerhuel;voie;;36;1,2,3,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,46,48,50,52,54
Rue de Kermor;voie;;16;1,3,5,7,9,11,13,14,16,18,20,22,24,26,28,30
Rue de l’Estuaire;voie;;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,28,30
Rue de l’Ile du Loch;voie;;7;1,2,3,5,6,7,8
Rue de l’Ile Saint Nicolas;voie;;3;1,2,3
Rue de l’Océan;voie;;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,22
Rue de l’Odet;voie;;75;1,3,5,7,9,10,11,12,13,14,15,16,17,19,21,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,81,89,91,93,97,101,103
Rue de la Clarté;voie;;12;1,2,3,4,5,6,7,8,9,10,11,12
Rue de la Plage;voie;;57;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,45,46,47,49,50,51,52,54,55,56,58,59,60,61,62,63,64
Rue de Ménez Noas;voie;;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,32
Rue de Mortemart;voie;;2;1,2
Rue de Pen Duick;voie;;13;1,2,3,4,5,6,7,8,9,10,12,16,18
Rue de Ty Lez;voie;;15;1,2,3,5,6,7,8,9,10,11,12,13,16,18,20
Rue des Ajoncs;voie;;16;1,7,9,11,12,13,14,15,16,17,18,19,21,25,29,31
Rue des Bergeronnettes;voie;;19;1,2,3,4,5,6,8,10,12,14,16,18,20,22,24,26,28,30,32
Rue des Bruyères;voie;;21;1,2,3,4,5,6,7,9,11,13,15,17,22,24,26,28,30,34,38,40,42
Rue des Camélias;voie;;6;2,3,4,5,6,8
Rue des Genêts;voie;;25;1,2,3,4,5,6,7,8,9,10,11,12,14,16,18,20,22,24,26,28,30,32,34,36,38
Rue des Glénan;voie;;27;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,28,30,32,34
Rue des Hortensias;voie;;27;1,3,4,5,6,7,8,9,10,12,13,14,15,16,17,19,20,21,23,25,27,29,31,33,35,37,39
Rue des Iles;voie;;19;1,2,3,4,5,6,7,9,10,11,13,15,17,19,21,23,25,27,29
Rue des Primevères;voie;;14;1,3,4,5,7,8,9,10,11,12,13,14,19,21
Rue des Saules;voie;;8;2,4,6,8,10,14,16,18
