Code Postal / CEDEX;Libellé;Code INSEE;Type de code;Nom de la commune;Nom du département;NOM EPCI;Nom de la région
93214;LA PLAINE ST DENIS CEDEX;93066;Code CEDEX;Saint-Denis;SEINE-SAINT-DENIS;Métropole du Grand Paris;ILE-DE-FRANCE
95004;CERGY PONTOISE CEDEX 1;95572;Code CEDEX;Saint-Ouen-l'Aumône;VAL-D'OISE;CA de Cergy-Pontoise;ILE-DE-FRANCE
95004;CERGY PONTOISE CEDEX;95572;Code CEDEX;Saint-Ouen-l'Aumône;VAL-D'OISE;CA de Cergy-Pontoise;ILE-DE-FRANCE
95612;CERGY PONTOISE CEDEX;95306;Code CEDEX;Herblay-sur-Seine;VAL-D'OISE;CA Val Parisis;ILE-DE-FRANCE
95612;CERGY PONTOISE CEDEX;95218;Code CEDEX;Éragny;VAL-D'OISE;CA de Cergy-Pontoise;ILE-DE-FRANCE
10102;ROMILLY SUR SEINE CEDEX;10323;Code CEDEX;Romilly-sur-Seine;AUBE;CC des Portes de Romilly sur Seine;GRAND EST
13432;MARSEILLE CEDEX 06;13206;Code CEDEX;;;;
14038;CAEN CEDEX 9;14118;Code CEDEX;Caen;CALVADOS;CU Caen la Mer;NORMANDIE
22192;PLERIN CEDEX;22187;Code CEDEX;Plérin;COTES-D'ARMOR;CA Saint-Brieuc Armor Agglomération;BRETAGNE
31403;TOULOUSE CEDEX 9;31555;Code CEDEX;Toulouse;HAUTE-GARONNE;Toulouse Métropole;OCCITANIE
35407;ST MALO CEDEX;35288;Code CEDEX;Saint-Malo;ILLE-ET-VILAINE;CA du Pays de Saint Malo Agglomération;BRETAGNE
37554;ST AVERTIN CEDEX;37208;Code CEDEX;Saint-Avertin;INDRE-ET-LOIRE;Tours Métropole Val de Loire;CENTRE-VAL DE LOIRE
62012;ARRAS CEDEX;62041;Code CEDEX;Arras;PAS-DE-CALAIS;CU d'Arras;HAUTS-DE-FRANCE
62204;BOULOGNE SUR MER CEDEX;62755;Code CEDEX;Saint-Léonard;PAS-DE-CALAIS;CA du Boulonnais;HAUTS-DE-FRANCE
62204;BOULOGNE SUR MER CEDEX;62894;Code CEDEX;Wimille;PAS-DE-CALAIS;CA du Boulonnais;HAUTS-DE-FRANCE
62204;BOULOGNE SUR MER CEDEX;62160;Code CEDEX;Boulogne-sur-Mer;PAS-DE-CALAIS;CA du Boulonnais;HAUTS-DE-FRANCE
62228;CALAIS CEDEX;62193;Code CEDEX;Calais;PAS-DE-CALAIS;CA du Calaisis;HAUTS-DE-FRANCE
72018;LE MANS CEDEX 2;73257;Code CEDEX;Les Belleville;SAVOIE;CC Coeur de Tarentaise;AUVERGNE-RHONE-ALPES
72018;LE MANS CEDEX 2;72181;Code CEDEX;Le Mans;SARTHE;CU Le Mans Métropole;PAYS DE LA LOIRE
76077;LE HAVRE CEDEX;76351;Code CEDEX;Le Havre;SEINE-MARITIME;CU Le Havre Seine Métropole;NORMANDIE
2006;LAON CEDEX;2408;Code CEDEX;Laon;AISNE;CA du Pays de Laon;HAUTS-DE-FRANCE
2105;ST QUENTIN CEDEX;2691;Code CEDEX;Saint-Quentin;AISNE;CA du Saint-Quentinois;HAUTS-DE-FRANCE
2107;ST QUENTIN CEDEX;2525;Code CEDEX;Morcourt;AISNE;CA du Saint-Quentinois;HAUTS-DE-FRANCE
2107;ST QUENTIN CEDEX;2691;Code CEDEX;Saint-Quentin;AISNE;CA du Saint-Quentinois;HAUTS-DE-FRANCE
13383;MARSEILLE CEDEX 13;13213;Code CEDEX;;;;
21057;DIJON CEDEX;21231;Code CEDEX;Dijon;COTE-D'OR;Dijon Métropole;BOURGOGNE-FRANCHE-COMTE
21062;DIJON CEDEX;21231;Code CEDEX;Dijon;COTE-D'OR;Dijon Métropole;BOURGOGNE-FRANCHE-COMTE
21062;DIJON CEDEX;21540;Code CEDEX;Saint-Apollinaire;COTE-D'OR;Dijon Métropole;BOURGOGNE-FRANCHE-COMTE
58301;DECIZE CEDEX;58055;Code CEDEX;Champvert;NIEVRE;CC Sud Nivernais;BOURGOGNE-FRANCHE-COMTE
58301;DECIZE CEDEX;58095;Code CEDEX;Decize;NIEVRE;CC Sud Nivernais;BOURGOGNE-FRANCHE-COMTE
58301;DECIZE CEDEX;58087;Code CEDEX;Cossaye;NIEVRE;CC Sud Nivernais;BOURGOGNE-FRANCHE-COMTE
58301;DECIZE CEDEX;58259;Code CEDEX;Saint-Parize-en-Viry;NIEVRE;CA Moulins Communauté;BOURGOGNE-FRANCHE-COMTE
60005;BEAUVAIS CEDEX;60057;Code CEDEX;Beauvais;OISE;CA du Beauvaisis;HAUTS-DE-FRANCE
60005;BEAUVAIS CEDEX;60009;Code CEDEX;Allonne;OISE;CA du Beauvaisis;HAUTS-DE-FRANCE
